,Name,Name_tag,ID,Position
376,Ilzat Akhmetov,ilzat-akhmetov,334440,Central Midfield
377,Gustavo Scarpa,gustavo-scarpa,330085,Attacking Midfield
378,Baptiste Santamaría,baptiste-santamaria,285323,Defensive Midfield
379,Elvis Rexhbecaj,elvis-rexhbecaj,280575,Central Midfield
380,Danilo,danilo,273438,Defensive Midfield
381,Dmitri Barinov,dmitri-barinov,263905,Defensive Midfield
382,Rade Krunic,rade-krunic,259953,Central Midfield
383,João Carvalho,joao-carvalho,258005,Attacking Midfield
384,Edimilson Fernandes,edimilson-fernandes,247555,Central Midfield
385,Bradley Dack,bradley-dack,238556,Attacking Midfield
386,Adrien Thomasson,adrien-thomasson,215977,Attacking Midfield
387,Solly March,solly-march,209212,Left Midfield
388,Andrija Zivkovic,andrija-zivkovic,206843,Right Midfield
389,Alejandro Pozuelo,alejandro-pozuelo,188853,Attacking Midfield
390,Adrien Tamèze,adrien-tameze,157507,Defensive Midfield
391,Omar Mascarell,omar-mascarell,142031,Defensive Midfield
392,Stuart Armstrong,stuart-armstrong,130765,Central Midfield
393,Gastón Ramírez,gaston-ramirez,123742,Attacking Midfield
394,Rodrigo Battaglia,rodrigo-battaglia,89297,Central Midfield
395,Jack Wilshere,jack-wilshere,74223,Central Midfield
396,Alan Dzagoev,alan-dzagoev,69683,Central Midfield
397,Roberto Soriano,roberto-soriano,63186,Central Midfield
398,Éverton Ribeiro,everton-ribeiro,52896,Attacking Midfield
399,Joe Allen,joe-allen,51452,Central Midfield
400,Ignacio Fernández,ignacio-fernandez,50669,Central Midfield
401,Ljubomir Fejsa,ljubomir-fejsa,46110,Defensive Midfield
402,Mousa Dembélé,mousa-dembele,19368,Central Midfield
403,Santiago Sosa,santiago-sosa,576026,Defensive Midfield
404,Emanuel Reynoso,emanuel-reynoso,439626,Attacking Midfield
405,Ivan Oblyakov,ivan-oblyakov,419845,Central Midfield
406,Mathieu Cafaro,mathieu-cafaro,399383,Attacking Midfield
407,Teun Koopmeiners,teun-koopmeiners,360518,Defensive Midfield
408,Roberto Alvarado,roberto-alvarado,353583,Attacking Midfield
409,Víctor Guzmán,victor-guzman,325598,Attacking Midfield
410,Rubén Pérez,ruben-perez,113045,Defensive Midfield
411,Guido Pizarro,guido-pizarro,105899,Defensive Midfield
412,Aleksandr Erokhin,aleksandr-erokhin,84483,Attacking Midfield
413,Clément Grenier,clement-grenier,72479,Central Midfield
