,Name,Name_tag,ID,Position
110,Merih Demiral,merih-demiral,340879,Centre-Back
111,Fikayo Tomori,fikayo-tomori,303254,Centre-Back
112,Timothy Castagne,timothy-castagne,262226,Right-Back
113,Aarón Martín,aaron-martin,251878,Left-Back
114,Wendell,wendell,228433,Left-Back
115,Jonny Otto,jonny-otto,175446,Left-Back
116,Matt Doherty,matt-doherty,171679,Right-Back
117,Niklas Stark,niklas-stark,162434,Centre-Back
118,Felipe,felipe,156501,Centre-Back
119,Gabriel Paulista,gabriel-paulista,149498,Centre-Back
120,Lewis Dunk,lewis-dunk,148153,Centre-Back
121,Danilo,danilo,145707,Right-Back
122,Pavel Kaderabek,pavel-kaderabek,143798,Right-Back
123,Alessandro Florenzi,alessandro-florenzi,130365,Right-Back
124,Jérôme Roussillon,jerome-roussillon,127076,Left-Back
125,Serge Aurier,serge-aurier,127032,Right-Back
126,Chris Smalling,chris-smalling,103427,Centre-Back
127,Sead Kolasinac,sead-kolasinac,94005,Left-Back
128,Willi Orban,willi-orban,93740,Centre-Back
129,Sime Vrsaljko,sime-vrsaljko,76061,Right-Back
130,Yuri Berchiche,yuri-berchiche,61812,Left-Back
131,Nacho,nacho,58884,Centre-Back
132,Danny Rose,danny-rose,50174,Left-Back
133,Dejan Lovren,dejan-lovren,37838,Centre-Back
134,Daniele Rugani,daniele-rugani,162959,Centre-Back
135,Ismaily,ismaily,124028,Left-Back
136,Benoît Badiashile,benoit-badiashile,463603,Centre-Back
137,Colin Dagba,colin-dagba,460629,Right-Back
138,Boubacar Kamara,boubacar-kamara,394327,Centre-Back
139,Malang Sarr,malang-sarr,344596,Centre-Back
140,Zinho Vanheusden,zinho-vanheusden,338672,Centre-Back
141,Robin Gosens,robin-gosens,273132,Left-Back
142,Calum Chambers,calum-chambers,215118,Right-Back
143,Jamaal Lascelles,jamaal-lascelles,183318,Centre-Back
144,Matija Nastasic,matija-nastasic,143559,Centre-Back
145,Conor Coady,conor-coady,128901,Centre-Back
146,Faouzi Ghoulam,faouzi-ghoulam,126656,Left-Back
147,Santiago Arias,santiago-arias,120443,Right-Back
148,Leonardo Spinazzola,leonardo-spinazzola,118689,Left-Back
149,Germán Pezzella,german-pezzella,113133,Centre-Back
150,Jannik Vestergaard,jannik-vestergaard,99331,Centre-Back
151,Marcos Acuña,marcos-acuna,60410,Left-Back
152,Nicolás Otamendi,nicolas-otamendi,54781,Centre-Back
153,Jan Vertonghen,jan-vertonghen,43250,Centre-Back
154,Sokratis,sokratis,34322,Centre-Back
155,Alfonso Pedraza,alfonso-pedraza,356197,Left-Back
