Name,Name_tag,ID,Position
Andros Townsend,andros-townsend,61842,Right Winger
Karim Bellarabi,karim-bellarabi,61087,Right Winger
Iker Muniain,iker-muniain,54235,Left Winger
Cenk Tosun,cenk-tosun,45671,Centre-Forward
Carlos Vela,carlos-vela,35773,Right Winger
Theo Walcott,theo-walcott,33713,Right Winger
Raphinha,raphinha,411295,Right Winger
Diego Lainez,diego-lainez,371174,Left Winger
Reiss Nelson,reiss-nelson,340325,Right Winger
Breel Embolo,breel-embolo,237662,Centre-Forward
Samu Castillejo,samu-castillejo,195171,Right Winger
Hulk,hulk,80562,Right Winger
Edin Dzeko,edin-dzeko,28396,Centre-Forward
Bukayo Saka,bukayo-saka,433177,Left Winger
Victor Osimhen,victor-osimhen,401923,Centre-Forward
Henry Onyekuru,henry-onyekuru,380415,Left Winger
Robert Skov,robert-skov,270393,Right Winger
Steven Berghuis,steven-berghuis,129554,Right Winger
Iago Falque,iago-falque,59340,Right Winger
Christian Benteke,christian-benteke,50201,Centre-Forward
Cristian Pavón,cristian-pavon,373170,Right Winger
Santos Borré,santos-borre,323831,Centre-Forward
Andy Delort,andy-delort,122797,Centre-Forward
Dimitri Payet,dimitri-payet,37647,Left Winger
Adolfo Gaich,adolfo-gaich,608469,Centre-Forward
Moussa Djenepo,moussa-djenepo,485424,Left Winger
Emmanuel Dennis,emmanuel-dennis,448854,Centre-Forward
Youssef En-Nesyri,youssef-en-nesyri,433049,Centre-Forward
Calvin Stengs,calvin-stengs,409344,Right Winger
Arnaut Danjuma,arnaut-danjuma,355861,Left Winger
Che Adams,che-adams,346779,Centre-Forward
Ollie Watkins,ollie-watkins,324358,Left Winger
Marcus Thuram,marcus-thuram,318528,Centre-Forward
Diego Rossi,diego-rossi,317454,Left Winger
Javairô Dilrosun,javairo-dilrosun,315125,Left Winger
Kelechi Iheanacho,kelechi-iheanacho,295330,Centre-Forward
Lys Mousset,lys-mousset,291422,Centre-Forward
Ihlas Bebou,ihlas-bebou,237164,Right Winger
Roman Yaremchuk,roman-yaremchuk,221958,Centre-Forward
Jeremie Boga,jeremie-boga,216569,Left Winger
Dwight Gayle,dwight-gayle,196522,Centre-Forward
Mbwana Samatta,mbwana-samatta,182201,Centre-Forward
Hélder Costa,helder-costa,173900,Right Winger
Ahmed Musa,ahmed-musa,168337,Left Winger
