Name,Name_tag,ID,Position
Leandro Paredes,leandro-paredes,166237,Defensive Midfield
Jordan Veretout,jordan-veretout,164771,Central Midfield
Thiago Mendes,thiago-mendes,135617,Defensive Midfield
Abdoulaye Doucouré,abdoulaye-doucoure,127187,Central Midfield
William Carvalho,william-carvalho,100131,Defensive Midfield
Ander Herrera,ander-herrera,99343,Central Midfield
Luka Milivojevic,luka-milivojevic,74300,Defensive Midfield
Sergio Canales,sergio-canales,66106,Attacking Midfield
Pizzi,pizzi,64339,Right Midfield
Asier Illarramendi,asier-illarramendi,59344,Defensive Midfield
Henrikh Mkhitaryan,henrikh-mkhitaryan,55735,Attacking Midfield
Moussa Sissoko,moussa-sissoko,46001,Central Midfield
Arne Maier,arne-maier,296397,Defensive Midfield
Marten de Roon,marten-de-roon,133179,Central Midfield
Dennis Praet,dennis-praet,129588,Central Midfield
Matías Vecino,matias-vecino,143812,Central Midfield
Matheus Henrique,matheus-henrique,552549,Central Midfield
Harvey Barnes,harvey-barnes,398065,Left Midfield
Pablo Fornals,pablo-fornals,357885,Attacking Midfield
Sean Longstaff,sean-longstaff,346707,Central Midfield
Sander Berge,sander-berge,333014,Defensive Midfield
Florian Neuhaus,florian-neuhaus,278332,Central Midfield
Florian Grillitsch,florian-grillitsch,195736,Central Midfield
Fred,fred,191614,Central Midfield
Davy Klaassen,davy-klaassen,182932,Central Midfield
Héctor Herrera,hector-herrera,122043,Central Midfield
Kevin Kampl,kevin-kampl,53418,Central Midfield
Mesut Özil,mesut-ozil,35664,Attacking Midfield
Eduardo Camavinga,eduardo-camavinga,640428,Defensive Midfield
Thiago Almada,thiago-almada,576028,Attacking Midfield
Kang-in Lee,kang-in-lee,557149,Attacking Midfield
Jonathan David,jonathan-david,533738,Attacking Midfield
Bruno Guimarães,bruno-guimaraes,520624,Central Midfield
Douglas Luiz,douglas-luiz,447661,Central Midfield
Amadou Haidara,amadou-haidara,402008,Central Midfield
Federico Valverde,federico-valverde,369081,Central Midfield
Amadou Diawara,amadou-diawara,355501,Defensive Midfield
Lucas Tousart,lucas-tousart,353948,Defensive Midfield
Gedson Fernandes,gedson-fernandes,337800,Right Midfield
Weston McKennie,weston-mckennie,332697,Central Midfield
Martin Ødegaard,martin-odegaard,316264,Attacking Midfield
Nikola Vlasic,nikola-vlasic,293200,Attacking Midfield
Miguel Almirón,miguel-almiron,272999,Attacking Midfield
Lewis Cook,lewis-cook,249089,Central Midfield
Marko Grujic,marko-grujic,222813,Central Midfield
Andreas Pereira,andreas-pereira,203394,Attacking Midfield
John McGinn,john-mcginn,193116,Central Midfield
Remo Freuler,remo-freuler,148252,Central Midfield
Manuel Lanzini,manuel-lanzini,135853,Attacking Midfield
Francis Coquelin,francis-coquelin,74869,Defensive Midfield
Nemanja Matic,nemanja-matic,74683,Defensive Midfield
Radja Nainggolan,radja-nainggolan,41982,Central Midfield
Luka Modric,luka-modric,27992,Central Midfield
Giorgian de Arrascaeta,giorgian-de-arrascaeta,248410,Attacking Midfield
Valentino Lazaro,valentino-lazaro,186368,Right Midfield
Steven Nzonzi,steven-nzonzi,73734,Defensive Midfield
Fran Beltrán,fran-beltran,423444,Central Midfield
Boubakary Soumaré,boubakary-soumare,344605,Defensive Midfield
Joe Willock,joe-willock,340329,Central Midfield
Manuel Lazzari,manuel-lazzari,331401,Right Midfield
Philip Billing,philip-billing,320411,Central Midfield
Tom Davies,tom-davies,314210,Central Midfield
Ainsley Maitland-Niles,ainsley-maitland-niles,285845,Right Midfield
Renato Sanches,renato-sanches,258027,Central Midfield
Wilmar Barrios,wilmar-barrios,257668,Defensive Midfield
Will Hughes,will-hughes,207014,Central Midfield
Wylan Cyprien,wylan-cyprien,182889,Central Midfield
James Ward-Prowse,james-ward-prowse,181579,Central Midfield
Jean Michaël Seri,jean-michael-seri,178614,Central Midfield
João Mário,joao-mario,149729,Central Midfield
Maximilian Arnold,maximilian-arnold,117674,Central Midfield
Jonjo Shelvey,jonjo-shelvey,71292,Central Midfield
Giacomo Bonaventura,giacomo-bonaventura,57280,Central Midfield
Grzegorz Krychowiak,grzegorz-krychowiak,45184,Defensive Midfield
Marek Hamsik,marek-hamsik,38593,Central Midfield
Blaise Matuidi,blaise-matuidi,33923,Central Midfield
Nicolás Domínguez,nicolas-dominguez,497291,Central Midfield
Matías Zaracho,matias-zaracho,480774,Attacking Midfield
Eljif Elmas,eljif-elmas,400489,Central Midfield
Ismaël Bennacer,ismael-bennacer,351816,Defensive Midfield
Diadie Samassékou,diadie-samassekou,315604,Defensive Midfield
Brahim Díaz,brahim-diaz,314678,Attacking Midfield
Ondrej Duda,ondrej-duda,232418,Attacking Midfield
Otávio,otavio,231289,Attacking Midfield
Konrad Laimer,konrad-laimer,223967,Central Midfield
Óliver Torres,oliver-torres,214775,Central Midfield
Alfred Duncan,alfred-duncan,184894,Central Midfield
Diego Demme,diego-demme,82070,Defensive Midfield
Davy Pröpper,davy-propper,79027,Central Midfield
Alex Teixeira,alex-teixeira,66515,Attacking Midfield
Yari Verschaeren,yari-verschaeren,502302,Attacking Midfield
Yusuf Yazici,yusuf-yazici,386726,Attacking Midfield
Amine Harit,amine-harit,372711,Attacking Midfield
Anton Miranchuk,anton-miranchuk,255451,Attacking Midfield
Aleksey Miranchuk,aleksey-miranchuk,255450,Attacking Midfield
Wahbi Khazri,wahbi-khazri,103565,Attacking Midfield
Mohamed Ihattaren,mohamed-ihattaren,503638,Attacking Midfield
Nicolás De La Cruz,nicolas-de-la-cruz,397458,Attacking Midfield
Hamed Junior Traorè,hamed-junior-traore,391065,Attacking Midfield
Ibrahim Sangaré,ibrahim-sangare,375885,Defensive Midfield
Florentino,florentino,357162,Defensive Midfield
Christopher Nkunku,christopher-nkunku,344381,Central Midfield
Mikel Merino,mikel-merino,338424,Central Midfield
Valentin Rongier,valentin-rongier,332889,Central Midfield
Todd Cantwell,todd-cantwell,332341,Left Midfield
Marko Rog,marko-rog,317482,Central Midfield
Rolando Mandragora,rolando-mandragora,308279,Defensive Midfield
Maxime López,maxime-lopez,290862,Central Midfield
Mauro Arambarri,mauro-arambarri,290249,Central Midfield
Nemanja Maksimovic,nemanja-maksimovic,273152,Central Midfield
Abdülkadir Ömür,abdulkadir-omur,271495,Right Midfield
Benjamin Bourigeaud,benjamin-bourigeaud,266359,Central Midfield
Enis Bardhi,enis-bardhi,245014,Central Midfield
Nadiem Amiri,nadiem-amiri,232454,Attacking Midfield
Xaver Schlager,xaver-schlager,223979,Central Midfield
Erick Pulgar,erick-pulgar,215616,Defensive Midfield
Roberto Gagliardini,roberto-gagliardini,197471,Central Midfield
Manu Trigueros,manu-trigueros,188854,Central Midfield
Mario Lemina,mario-lemina,170934,Defensive Midfield
Pierre-Emile Höjbjerg,pierre-emile-hojbjerg,167799,Central Midfield
Hans Vanaken,hans-vanaken,137576,Attacking Midfield
Rafinha,rafinha,129473,Attacking Midfield
Tom Cairney,tom-cairney,123275,Attacking Midfield
José Campaña,jose-campana,120095,Central Midfield
Dudu,dudu,114937,Right Midfield
Charles Aránguiz,charles-aranguiz,89701,Central Midfield
Franco Vázquez,franco-vazquez,76163,Attacking Midfield
Javier Pastore,javier-pastore,55215,Attacking Midfield
Fabian Delph,fabian-delph,50362,Central Midfield
Juan Mata,juan-mata,44068,Attacking Midfield
Jack Cork,jack-cork,40613,Defensive Midfield
Arturo Vidal,arturo-vidal,37666,Central Midfield
David Silva,david-silva,35518,Attacking Midfield
Éver Banega,ever-banega,12249,Central Midfield
Gerson,gerson,341705,Central Midfield
Joan Jordán,joan-jordan,263727,Central Midfield
Karol Linetty,karol-linetty,225873,Central Midfield
Ruslan Malinovskyi,ruslan-malinovskyi,207877,Central Midfield
Mario Pasalic,mario-pasalic,205938,Central Midfield
Marco Benassi,marco-benassi,201040,Central Midfield
Tonny Vilhena,tonny-vilhena,182581,Central Midfield
Roman Zobnin,roman-zobnin,166277,Central Midfield
Sergi Darder,sergi-darder,142021,Central Midfield
Rémy Cabella,remy-cabella,113707,Attacking Midfield
Giuliano,giuliano,54375,Attacking Midfield
Razvan Marin,razvan-marin,295183,Central Midfield
Pablo Rosario,pablo-rosario,370791,Defensive Midfield
Tyler Adams,tyler-adams,332705,Defensive Midfield
Manuel Locatelli,manuel-locatelli,265088,Central Midfield
Suat Serdar,suat-serdar,261905,Central Midfield
Gabriel,gabriel,167291,Central Midfield
Adrien Silva,adrien-silva,56810,Central Midfield
Alexis Mac Allister,alexis-mac-allister,534033,Attacking Midfield
Agustín Almendra,agustin-almendra,491698,Central Midfield
Dominik Szoboszlai,dominik-szoboszlai,451276,Left Midfield
Yves Bissouma,yves-bissouma,410425,Central Midfield
Guus Til,guus-til,372267,Attacking Midfield
Michaël Cuisance,michael-cuisance,344600,Central Midfield
Hannes Wolf,hannes-wolf,321070,Attacking Midfield
Jakub Jankto,jakub-jankto,319160,Central Midfield
Ellyes Skhiri,ellyes-skhiri,290587,Defensive Midfield
Orel Mangala,orel-mangala,289592,Central Midfield
Gastón Pereiro,gaston-pereiro,264116,Attacking Midfield
Seko Fofana,seko-fofana,182893,Central Midfield
Jeffrey Schlupp,jeffrey-schlupp,157506,Left Midfield
Okay Yokuslu,okay-yokuslu,137616,Defensive Midfield
Téji Savanier,teji-savanier,127156,Central Midfield
Aaron Mooy,aaron-mooy,123951,Central Midfield
Edin Visca,edin-visca,109217,Right Midfield
Josuha Guilavogui,josuha-guilavogui,93704,Defensive Midfield
Matt Ritchie,matt-ritchie,92469,Right Midfield
Pascal Groß,pascal-gross,82873,Central Midfield
Victor Wanyama,victor-wanyama,77760,Defensive Midfield
Josef,josef,73741,Defensive Midfield
Adem Ljajic,adem-ljajic,69374,Attacking Midfield
Kevin Strootman,kevin-strootman,68864,Defensive Midfield
Kwadwo Asamoah,kwadwo-asamoah,63531,Left Midfield
Morgan Schneiderlin,morgan-schneiderlin,56818,Defensive Midfield
Renato Augusto,renato-augusto,53058,Central Midfield
Adam Lallana,adam-lallana,43530,Attacking Midfield
Cesc Fàbregas,cesc-fabregas,8806,Central Midfield
James Milner,james-milner,3333,Central Midfield
Albert Sambi Lokonga,albert-sambi-lokonga,381967,Defensive Midfield
Kalvin Phillips,kalvin-phillips,351749,Defensive Midfield
Daler Kuzyaev,daler-kuzyaev,279570,Central Midfield
Mijat Gacinovic,mijat-gacinovic,215864,Attacking Midfield
Soualiho Meïté,soualiho-meite,164913,Central Midfield
Jeff Hendrick,jeff-hendrick,148262,Central Midfield
Roberto Pereyra,roberto-pereyra,112302,Attacking Midfield
Fernando,fernando,105456,Defensive Midfield
Matías Palacios,matias-palacios,621370,Attacking Midfield
Cristian Ferreira,cristian-ferreira,548468,Central Midfield
Wendel,wendel,499721,Central Midfield
Fausto Vera,fausto-vera,491701,Defensive Midfield
Santiago Cáseres,santiago-caseres,466298,Defensive Midfield
Santiago Ascacíbar,santiago-ascacibar,423436,Central Midfield
Jean Pyerre,jean-pyerre,351903,Attacking Midfield
Guido Rodríguez,guido-rodriguez,342385,Defensive Midfield
Hamza Choudhury,hamza-choudhury,341501,Defensive Midfield
Franco Cervi,franco-cervi,341110,Left Midfield
Pierre Kunde Malong,pierre-kunde-malong,339829,Central Midfield
Riqui Puig,riqui-puig,331511,Central Midfield
Jota,jota,329812,Right Midfield
Marvelous Nakamba,marvelous-nakamba,324882,Defensive Midfield
Xeka,xeka,290256,Central Midfield
Sofyan Amrabat,sofyan-amrabat,287579,Central Midfield
Óscar Rodríguez,oscar-rodriguez,284884,Attacking Midfield
Tomas Soucek,tomas-soucek,283628,Defensive Midfield
Maximiliano Meza,maximiliano-meza,282476,Attacking Midfield
Kenedy,kenedy,281404,Left Midfield
Antonin Barak,antonin-barak,272261,Central Midfield
Rubén Alcaraz,ruben-alcaraz,247250,Central Midfield
Nabil Bentaleb,nabil-bentaleb,245537,Central Midfield
Rodolfo Pizarro,rodolfo-pizarro,234918,Attacking Midfield
Diego Laxalt,diego-laxalt,230552,Left Midfield
Mateus Uribe,mateus-uribe,214538,Central Midfield
Isaac Hayden,isaac-hayden,206225,Defensive Midfield
Mahmoud Dahoud,mahmoud-dahoud,191422,Central Midfield
Bobby Reid,bobby-reid,186186,Attacking Midfield
Abdoulaye Touré,abdoulaye-toure,181382,Defensive Midfield
Janik Haberer,janik-haberer,177779,Central Midfield
Stefano Sturaro,stefano-sturaro,167859,Central Midfield
Yuri Gazinskiy,yuri-gazinskiy,159957,Central Midfield
Konstantinos Fortounis,konstantinos-fortounis,157539,Attacking Midfield
Max Meyer,max-meyer,146164,Attacking Midfield
Rani Khedira,rani-khedira,124410,Defensive Midfield
Juan Fernando Quintero,juan-fernando-quintero,122582,Attacking Midfield
Yannick Gerhardt,yannick-gerhardt,119277,Central Midfield
Benjamin André,benjamin-andre,84301,Central Midfield
Christoph Kramer,christoph-kramer,82097,Defensive Midfield
Cheikhou Kouyaté,cheikhou-kouyate,66934,Defensive Midfield
Oriol Romeu,oriol-romeu,66100,Defensive Midfield
Marc Albrighton,marc-albrighton,61560,Right Midfield
Yann M'Vila,yann-mvila,60573,Defensive Midfield
Taras Stepanenko,taras-stepanenko,59970,Defensive Midfield
João Moutinho,joao-moutinho,29364,Central Midfield
Fernandinho,fernandinho,26267,Defensive Midfield
Daniele Baselli,daniele-baselli,134883,Central Midfield
Marouane Fellaini,marouane-fellaini,39679,Central Midfield
Giorgi Chakvetadze,giorgi-chakvetadze,412616,Attacking Midfield
Daichi Kamada,daichi-kamada,356141,Attacking Midfield
Florent Mollet,florent-mollet,222859,Attacking Midfield
Djibril Sow,djibril-sow,212723,Central Midfield
Alex Pritchard,alex-pritchard,200777,Attacking Midfield
Andreas Samaris,andreas-samaris,140032,Defensive Midfield
Sérgio Oliveira,sergio-oliveira,112465,Central Midfield
Vicente Iborra,vicente-iborra,65467,Central Midfield
Lars Bender,lars-bender,30059,Defensive Midfield
Jonas Hofmann,jonas-hofmann,7161,Central Midfield
Dennis Geiger,dennis-geiger,251309,Central Midfield
Badou Ndiaye,badou-ndiaye,211325,Central Midfield
Dominik Kohr,dominik-kohr,118847,Central Midfield
Mady Camara,mady-camara,481173,Defensive Midfield
Lucas Robertone,lucas-robertone,457221,Central Midfield
Morgan Gibbs-White,morgan-gibbs-white,429014,Central Midfield
Maycon,maycon,421935,Central Midfield
Oliver Skipp,oliver-skipp,406638,Defensive Midfield
Pierre Lees Melou,pierre-lees-melou,377393,Central Midfield
Ilzat Akhmetov,ilzat-akhmetov,334440,Central Midfield
Gustavo Scarpa,gustavo-scarpa,330085,Attacking Midfield
Baptiste Santamaría,baptiste-santamaria,285323,Defensive Midfield
Elvis Rexhbecaj,elvis-rexhbecaj,280575,Central Midfield
Danilo,danilo,273438,Defensive Midfield
Dmitri Barinov,dmitri-barinov,263905,Defensive Midfield
Rade Krunic,rade-krunic,259953,Central Midfield
João Carvalho,joao-carvalho,258005,Attacking Midfield
Edimilson Fernandes,edimilson-fernandes,247555,Central Midfield
Bradley Dack,bradley-dack,238556,Attacking Midfield
Adrien Thomasson,adrien-thomasson,215977,Attacking Midfield
Solly March,solly-march,209212,Left Midfield
Andrija Zivkovic,andrija-zivkovic,206843,Right Midfield
Alejandro Pozuelo,alejandro-pozuelo,188853,Attacking Midfield
Adrien Tamèze,adrien-tameze,157507,Defensive Midfield
Omar Mascarell,omar-mascarell,142031,Defensive Midfield
Stuart Armstrong,stuart-armstrong,130765,Central Midfield
Gastón Ramírez,gaston-ramirez,123742,Attacking Midfield
Rodrigo Battaglia,rodrigo-battaglia,89297,Central Midfield
Jack Wilshere,jack-wilshere,74223,Central Midfield
Alan Dzagoev,alan-dzagoev,69683,Central Midfield
Roberto Soriano,roberto-soriano,63186,Central Midfield
Éverton Ribeiro,everton-ribeiro,52896,Attacking Midfield
Joe Allen,joe-allen,51452,Central Midfield
Ignacio Fernández,ignacio-fernandez,50669,Central Midfield
Ljubomir Fejsa,ljubomir-fejsa,46110,Defensive Midfield
Mousa Dembélé,mousa-dembele,19368,Central Midfield
Santiago Sosa,santiago-sosa,576026,Defensive Midfield
Emanuel Reynoso,emanuel-reynoso,439626,Attacking Midfield
Ivan Oblyakov,ivan-oblyakov,419845,Central Midfield
Mathieu Cafaro,mathieu-cafaro,399383,Attacking Midfield
Teun Koopmeiners,teun-koopmeiners,360518,Defensive Midfield
Roberto Alvarado,roberto-alvarado,353583,Attacking Midfield
Víctor Guzmán,victor-guzman,325598,Attacking Midfield
Rubén Pérez,ruben-perez,113045,Defensive Midfield
Guido Pizarro,guido-pizarro,105899,Defensive Midfield
Aleksandr Erokhin,aleksandr-erokhin,84483,Attacking Midfield
Clément Grenier,clement-grenier,72479,Central Midfield
Conor Hourihane,conor-hourihane,61653,Central Midfield
Mikel San José,mikel-san-jose,52469,Defensive Midfield
Lucas Leiva,lucas-leiva,41414,Defensive Midfield
Raúl García,raul-garcia,34601,Attacking Midfield
Luiz Gustavo,luiz-gustavo,10471,Defensive Midfield
Orkun Kökcü,orkun-kokcu,454567,Attacking Midfield
Ronaldo Vieira,ronaldo-vieira,434676,Central Midfield
Matías Rojas,matias-rojas,417327,Attacking Midfield
Aurélien Tchouaméni,aurelien-tchouameni,413112,Defensive Midfield
Alexis Saelemaekers,alexis-saelemaekers,381950,Right Midfield
Arnór Sigurdsson,arnor-sigurdsson,377665,Attacking Midfield
Bryan Heynen,bryan-heynen,356081,Central Midfield
Pape Cheikh,pape-cheikh,336828,Central Midfield
Otávio,otavio,312314,Defensive Midfield
Ludovic Blas,ludovic-blas,288225,Central Midfield
Youssef Aït Bennasser,youssef-ait-bennasser,265569,Central Midfield
Eduard Löwen,eduard-lowen,260655,Central Midfield
Adam Marusic,adam-marusic,239802,Right Midfield
Daniel Amartey,daniel-amartey,214056,Defensive Midfield
Ibrahim Amadou,ibrahim-amadou,205503,Defensive Midfield
Roque Mesa,roque-mesa,202984,Central Midfield
Alberto Grassi,alberto-grassi,197473,Central Midfield
Jean-Eudes Aholou,jean-eudes-aholou,178313,Defensive Midfield
Marco van Ginkel,marco-van-ginkel,147034,Central Midfield
George Saville,george-saville,141573,Central Midfield
Nampalys Mendy,nampalys-mendy,111051,Defensive Midfield
Pedro Obiang,pedro-obiang,101213,Central Midfield
Leonardo Bittencourt,leonardo-bittencourt,93844,Attacking Midfield
Ashley Westwood,ashley-westwood,91317,Defensive Midfield
Tomás Rincón,tomas-rincon,75942,Defensive Midfield
Steven Zuber,steven-zuber,68033,Left Midfield
Jake Livermore,jake-livermore,61832,Defensive Midfield
Tobias Strobl,tobias-strobl,57845,Defensive Midfield
Harry Arter,harry-arter,55742,Central Midfield
Sami Khedira,sami-khedira,29401,Central Midfield
Antonio Candreva,antonio-candreva,25488,Right Midfield
Ibrahima Sissoko,ibrahima-sissoko,372712,Defensive Midfield
Érick Gutiérrez,erick-gutierrez,298796,Central Midfield
Amer Gojak,amer-gojak,293210,Attacking Midfield
Dorukhan Toköz,dorukhan-tokoz,275935,Central Midfield
Iván Marcone,ivan-marcone,90451,Defensive Midfield
Nemanja Gudelj,nemanja-gudelj,74294,Defensive Midfield
Étienne Capoue,etienne-capoue,63494,Defensive Midfield
Sebastian Rudy,sebastian-rudy,57051,Defensive Midfield
Daniel Caligiuri,daniel-caligiuri,38410,Right Midfield
Mohamed Elneny,mohamed-elneny,160438,Defensive Midfield
Marcos Antônio,marcos-antonio,468301,Central Midfield
Elisha Owusu,elisha-owusu,395695,Defensive Midfield
Michel Vlap,michel-vlap,342702,Attacking Midfield
Alex Kral,alex-kral,337333,Defensive Midfield
Walace,walace,323954,Defensive Midfield
Jean-Victor Makengo,jean-victor-makengo,322305,Central Midfield
Luciano Acosta,luciano-acosta,315169,Attacking Midfield
Mohamed Fares,mohamed-fares,287700,Left Midfield
Krystian Bielik,krystian-bielik,287247,Defensive Midfield
Ianis Hagi,ianis-hagi,282076,Attacking Midfield
Ivan Sunjic,ivan-sunjic,226097,Defensive Midfield
Patrik Hrosovsky,patrik-hrosovsky,217879,Central Midfield
Irfan Can Kahveci,irfan-can-kahveci,216603,Central Midfield
Igor Coronado,igor-coronado,215915,Attacking Midfield
Jorrit Hendrix,jorrit-hendrix,205004,Defensive Midfield
Viktor Kovalenko,viktor-kovalenko,203842,Attacking Midfield
Jean-Paul Boëtius,jean-paul-boetius,182574,Attacking Midfield
John Lundstram,john-lundstram,156941,Central Midfield
Jonathan Viera,jonathan-viera,153238,Attacking Midfield
Nathaniel Chalobah,nathaniel-chalobah,128900,Defensive Midfield
Robbie Brady,robbie-brady,128229,Left Midfield
Sofiane Hanni,sofiane-hanni,113358,Attacking Midfield
Lucas Castro,lucas-castro,105892,Central Midfield
Ryad Boudebouz,ryad-boudebouz,77826,Attacking Midfield
Danny Drinkwater,danny-drinkwater,73491,Central Midfield
Tom Cleverley,tom-cleverley,73484,Central Midfield
Arijan Ademi,arijan-ademi,71542,Defensive Midfield
Borja García,borja-garcia,67808,Attacking Midfield
Leroy Fer,leroy-fer,63342,Central Midfield
Oleg Shatov,oleg-shatov,59187,Left Midfield
John Fleck,john-fleck,54383,Central Midfield
Ramires,ramires,54170,Central Midfield
Dale Stephens,dale-stephens,49755,Central Midfield
Ruud Vormer,ruud-vormer,45864,Central Midfield
James McArthur,james-mcarthur,41416,Central Midfield
Marko Marin,marko-marin,35251,Attacking Midfield
Mark Noble,mark-noble,31835,Central Midfield
Hatem Ben Arfa,hatem-ben-arfa,18900,Attacking Midfield
Enzo Loiodice,enzo-loiodice,581781,Central Midfield
Yacine Adli,yacine-adli,395236,Attacking Midfield
Trent Alexander-Arnold,trent-alexander-arnold,314353,Right-Back
Virgil van Dijk,virgil-van-dijk,139208,Centre-Back
Andrew Robertson,andrew-robertson,234803,Left-Back
Matthijs de Ligt,matthijs-de-ligt,326031,Centre-Back
Aymeric Laporte,aymeric-laporte,176553,Centre-Back
Kalidou Koulibaly,kalidou-koulibaly,93128,Centre-Back
Lucas Hernández,lucas-hernandez,281963,Centre-Back
José Giménez,jose-gimenez,250845,Centre-Back
Harry Maguire,harry-maguire,177907,Centre-Back
Raphaël Varane,raphael-varane,164770,Centre-Back
Joshua Kimmich,joshua-kimmich,161056,Right-Back
Marquinhos,marquinhos,181767,Centre-Back
Davinson Sánchez,davinson-sanchez,341429,Centre-Back
Milan Skriniar,milan-skriniar,204069,Centre-Back
John Stones,john-stones,186590,Centre-Back
Clément Lenglet,clement-lenglet,182904,Centre-Back
Niklas Süle,niklas-sule,166601,Centre-Back
Stefan de Vrij,stefan-de-vrij,111196,Centre-Back
David Alaba,david-alaba,59016,Left-Back
Éder Militão,eder-militao,401530,Centre-Back
Ben Chilwell,ben-chilwell,316125,Left-Back
José Gayà,jose-gaya,221322,Left-Back
João Cancelo,joao-cancelo,182712,Right-Back
Daniel Carvajal,daniel-carvajal,138927,Right-Back
Kyle Walker,kyle-walker,95424,Right-Back
Antonio Rüdiger,antonio-rudiger,86202,Centre-Back
Alex Sandro,alex-sandro,79960,Left-Back
Jordi Alba,jordi-alba,69751,Left-Back
Ibrahima Konaté,ibrahima-konate,357119,Centre-Back
Alessio Romagnoli,alessio-romagnoli,197747,Centre-Back
Samuel Umtiti,samuel-umtiti,126540,Centre-Back
Aaron Wan-Bissaka,aaron-wan-bissaka,477758,Right-Back
Dayot Upamecano,dayot-upamecano,344695,Centre-Back
Caglar Söyüncü,caglar-soyuncu,320141,Centre-Back
Ferland Mendy,ferland-mendy,291417,Left-Back
Manuel Akanji,manuel-akanji,284730,Centre-Back
Nélson Semedo,nelson-semedo,231572,Right-Back
Ricardo Pereira,ricardo-pereira,215876,Right-Back
Jonathan Tah,jonathan-tah,196357,Centre-Back
Héctor Bellerín,hector-bellerin,191217,Right-Back
Konstantinos Manolas,konstantinos-manolas,104752,Centre-Back
Joel Matip,joel-matip,82105,Centre-Back
Benjamin Pavard,benjamin-pavard,353366,Centre-Back
Issa Diop,issa-diop,272622,Centre-Back
Joe Gomez,joe-gomez,256178,Centre-Back
Alex Telles,alex-telles,255755,Left-Back
Abdou Diallo,abdou-diallo,229005,Centre-Back
Thilo Kehrer,thilo-kehrer,228948,Centre-Back
Victor Lindelöf,victor-lindelof,184573,Centre-Back
Nathan Aké,nathan-ake,177476,Centre-Back
Kurt Zouma,kurt-zouma,157509,Centre-Back
Benjamin Mendy,benjamin-mendy,157495,Left-Back
Lucas Digne,lucas-digne,126664,Left-Back
Matthias Ginter,matthias-ginter,124502,Centre-Back
Stefan Savic,stefan-savic,107010,Centre-Back
Kieran Trippier,kieran-trippier,95810,Right-Back
Toby Alderweireld,toby-alderweireld,42710,Centre-Back
Mats Hummels,mats-hummels,39728,Centre-Back
Gerard Piqué,gerard-pique,18944,Centre-Back
Rúben Dias,ruben-dias,258004,Centre-Back
Alejandro Grimaldo,alejandro-grimaldo,193082,Left-Back
Iñigo Martínez,inigo-martinez,158863,Centre-Back
Nikola Milenkovic,nikola-milenkovic,413507,Centre-Back
Achraf Hakimi,achraf-hakimi,398073,Right-Back
Mouctar Diakhaby,mouctar-diakhaby,346289,Centre-Back
Presnel Kimpembe,presnel-kimpembe,282041,Centre-Back
Lukas Klostermann,lukas-klostermann,215599,Right-Back
Oleksandr Zinchenko,oleksandr-zinchenko,203853,Left-Back
Andreas Christensen,andreas-christensen,196948,Centre-Back
Nico Elvedi,nico-elvedi,192635,Centre-Back
Emerson,emerson,181778,Left-Back
Michael Keane,michael-keane,118534,Centre-Back
Mário Fernandes,mario-fernandes,102740,Right-Back
Thomas Meunier,thomas-meunier,100986,Right-Back
César Azpilicueta,cesar-azpilicueta,57500,Right-Back
Dan-Axel Zagadou,dan-axel-zagadou,344598,Centre-Back
Gianluca Mancini,gianluca-mancini,256448,Centre-Back
Tyrone Mings,tyrone-mings,253677,Centre-Back
Nicolás Tagliafico,nicolas-tagliafico,131225,Left-Back
William Saliba,william-saliba,495666,Centre-Back
Youcef Atal,youcef-atal,416108,Right-Back
Jules Koundé,jules-kounde,411975,Centre-Back
Júnior Firpo,junior-firpo,374139,Left-Back
Theo Hernández,theo-hernandez,339808,Left-Back
Kieran Tierney,kieran-tierney,300716,Left-Back
Yerry Mina,yerry-mina,289446,Centre-Back
Mario Hermoso,mario-hermoso,281769,Centre-Back
Álvaro Odriozola,alvaro-odriozola,280730,Right-Back
Joachim Andersen,joachim-andersen,260827,Centre-Back
Yeray Álvarez,yeray-alvarez,255488,Centre-Back
Diego Llorente,diego-llorente,246291,Centre-Back
Djené,djene,221150,Centre-Back
James Tarkowski,james-tarkowski,173504,Centre-Back
Marcos Alonso,marcos-alonso,112515,Left-Back
Nico Schulz,nico-schulz,85867,Left-Back
Marcelo,marcelo,44501,Left-Back
Leonardo Bonucci,leonardo-bonucci,39983,Centre-Back
Armando Izzo,armando-izzo,32113,Centre-Back
Sergio Ramos,sergio-ramos,25557,Centre-Back
Daley Blind,daley-blind,12282,Centre-Back
Alessandro Bastoni,alessandro-bastoni,315853,Centre-Back
Evan N'Dicka,evan-ndicka,371149,Centre-Back
Nordi Mukiele,nordi-mukiele,348026,Right-Back
Eric Bailly,eric-bailly,286384,Centre-Back
Sergio Reguilón,sergio-reguilon,282429,Left-Back
Ben Davies,ben-davies,192765,Left-Back
Luke Shaw,luke-shaw,183288,Left-Back
Marc Bartra,marc-bartra,99922,Centre-Back
Marcel Halstenberg,marcel-halstenberg,70243,Left-Back
Diogo Dalot,diogo-dalot,357147,Right-Back
Merih Demiral,merih-demiral,340879,Centre-Back
Fikayo Tomori,fikayo-tomori,303254,Centre-Back
Timothy Castagne,timothy-castagne,262226,Right-Back
Aarón Martín,aaron-martin,251878,Left-Back
Wendell,wendell,228433,Left-Back
Jonny Otto,jonny-otto,175446,Left-Back
Matt Doherty,matt-doherty,171679,Right-Back
Niklas Stark,niklas-stark,162434,Centre-Back
