,Name,Name_tag,ID,Position
106,Joel Robles,joel-robles,101118,Goalkeeper
107,Luigi Sepe,luigi-sepe,99254,Goalkeeper
108,Alex McCarthy,alex-mccarthy,95976,Goalkeeper
109,Loris Karius,loris-karius,85864,Goalkeeper
110,Adrián,adrian,71271,Goalkeeper
111,Vicente Guaita,vicente-guaita,64399,Goalkeeper
112,Fernando Muslera,fernando-muslera,58088,Goalkeeper
113,Jonas Lössl,jonas-lossl,48870,Goalkeeper
114,Tim Krul,tim-krul,33027,Goalkeeper
115,Marco Bizot,marco-bizot,124884,Goalkeeper
116,Stanislav Kritsyuk,stanislav-kritsyuk,98547,Goalkeeper
117,Wéverton,weverton,69400,Goalkeeper
118,Darren Randolph,darren-randolph,51321,Goalkeeper
119,Sven Ulreich,sven-ulreich,40680,Goalkeeper
120,Diogo Costa,diogo-costa,357153,Goalkeeper
121,Gautier Larsonneur,gautier-larsonneur,357047,Goalkeeper
122,Altay Bayindir,altay-bayindir,336077,Goalkeeper
123,Léo Jardim,leo-jardim,288415,Goalkeeper
124,Tiago Sá,tiago-sa,286908,Goalkeeper
125,Brice Samba,brice-samba,191056,Goalkeeper
126,Iago Herrerín,iago-herrerin,71570,Goalkeeper
127,Mert Günok,mert-gunok,51894,Goalkeeper
128,Fabri,fabri,45882,Goalkeeper
129,Lukasz Fabianski,lukasz-fabianski,29692,Goalkeeper
130,José Sá,jose-sa,249994,Goalkeeper
131,Alireza Beiranvand,alireza-beiranvand,229081,Goalkeeper
132,David von Ballmoos,david-von-ballmoos,203124,Goalkeeper
133,Paulo Gazzaniga,paulo-gazzaniga,195488,Goalkeeper
134,Alexander Schlager,alexander-schlager,186374,Goalkeeper
135,Thomas Didillon,thomas-didillon,182891,Goalkeeper
136,Cican Stankovic,cican-stankovic,127679,Goalkeeper
137,Marcus Bettinelli,marcus-bettinelli,116648,Goalkeeper
138,Emiliano Martínez,emiliano-martinez,111873,Goalkeeper
139,Renan Ribeiro,renan-ribeiro,95142,Goalkeeper
140,Richard Strebinger,richard-strebinger,93768,Goalkeeper
141,David Ospina,david-ospina,73396,Goalkeeper
142,Milan Borjan,milan-borjan,67797,Goalkeeper
143,Lars Unnerstall,lars-unnerstall,53696,Goalkeeper
144,Lovre Kalinic,lovre-kalinic,46405,Goalkeeper
145,Diego Alves,diego-alves,42373,Goalkeeper
146,Stéphane Ruffier,stephane-ruffier,39910,Goalkeeper
147,Andrea Consigli,andrea-consigli,35865,Goalkeeper
148,Alex Smithies,alex-smithies,33754,Goalkeeper
149,Sergio Romero,sergio-romero,30690,Goalkeeper
150,Guillermo Ochoa,guillermo-ochoa,29559,Goalkeeper
151,Manuel Roffo,manuel-roffo,491687,Goalkeeper
152,Lucas Chávez,lucas-chavez,360791,Goalkeeper
153,Justin Bijlow,justin-bijlow,315121,Goalkeeper
154,Vasilios Barkas,vasilios-barkas,248658,Goalkeeper
155,Guido Herrera,guido-herrera,230014,Goalkeeper
156,Tiago Volpi,tiago-volpi,227671,Goalkeeper
157,Rubén Blanco,ruben-blanco,199321,Goalkeeper
158,Bruno Varela,bruno-varela,182722,Goalkeeper
159,Stole Dimitrievski,stole-dimitrievski,165467,Goalkeeper
160,Yvon Mvogo,yvon-mvogo,147051,Goalkeeper
161,Karl Darlow,karl-darlow,99397,Goalkeeper
162,Marco Silvestri,marco-silvestri,85528,Goalkeeper
163,Etrit Berisha,etrit-berisha,77825,Goalkeeper
164,Thomas Kaminski,thomas-kaminski,77757,Goalkeeper
165,Aleksandr Belenov,aleksandr-belenov,62514,Goalkeeper
166,Guilherme,guilherme,55369,Goalkeeper
167,Gabriel Arias,gabriel-arias,54330,Goalkeeper
168,Marcelo Grohe,marcelo-grohe,52313,Goalkeeper
169,Cássio,cassio,50144,Goalkeeper
170,Wayne Hennessey,wayne-hennessey,45494,Goalkeeper
171,Joe Hart,joe-hart,40204,Goalkeeper
172,Ralf Fährmann,ralf-fahrmann,39015,Goalkeeper
173,Sinan Bolat,sinan-bolat,33862,Goalkeeper
174,Kiko Casilla,kiko-casilla,27486,Goalkeeper
175,Anton Shunin,anton-shunin,37549,Goalkeeper
176,Ezequiel Unsain,ezequiel-unsain,337600,Goalkeeper
177,Martín Campaña,martin-campana,91755,Goalkeeper
178,Alessandro Plizzari,alessandro-plizzari,357991,Goalkeeper
179,Bingourou Kamara,bingourou-kamara,333175,Goalkeeper
