,Name,Name_tag,ID,Position
363,Jonathan Calleri,jonathan-calleri,284727,Centre-Forward
364,Ricardo Horta,ricardo-horta,261927,Left Winger
365,Dawid Kownacki,dawid-kownacki,208167,Centre-Forward
366,Djaniny,djaniny,197170,Centre-Forward
367,Vincenzo Grifo,vincenzo-grifo,185077,Left Winger
368,Gonçalo Paciência,goncalo-paciencia,181547,Centre-Forward
369,Dyego Sousa,dyego-sousa,157036,Centre-Forward
370,Zé Luís,ze-luis,134602,Centre-Forward
371,Mark Uth,mark-uth,112935,Centre-Forward
372,Simone Zaza,simone-zaza,96828,Centre-Forward
373,Olivier Giroud,olivier-giroud,82442,Centre-Forward
374,Danny Welbeck,danny-welbeck,67063,Centre-Forward
375,Gervinho,gervinho,33481,Left Winger
376,Kévin Gameiro,kevin-gameiro,27389,Centre-Forward
377,Odion Ighalo,odion-ighalo,62121,Centre-Forward
378,Nikola Kalinic,nikola-kalinic,36371,Centre-Forward
379,Kaio Jorge,kaio-jorge,620477,Centre-Forward
380,Nicólas González,nicolas-gonzalez,486031,Centre-Forward
381,Léo Jabá,leo-jaba,468260,Right Winger
382,Adama Diakhaby,adama-diakhaby,453594,Left Winger
383,Myziane Maolida,myziane-maolida,371142,Centre-Forward
384,Timothy Weah,timothy-weah,370846,Centre-Forward
385,Alexander Isak,alexander-isak,349066,Centre-Forward
386,Noah Okafor,noah-okafor,346890,Left Winger
387,Eddie Nketiah,eddie-nketiah,340324,Centre-Forward
388,Luan,luan,313106,Second Striker
389,Saïd Benrahma,said-benrahma,290532,Right Winger
390,Ignacio Pussetto,ignacio-pussetto,283528,Right Winger
391,Bruno Petkovic,bruno-petkovic,256358,Centre-Forward
392,Vedat Muriqi,vedat-muriqi,256267,Centre-Forward
393,Pione Sisto,pione-sisto,252641,Left Winger
394,Antonio Sanabria,antonio-sanabria,234523,Centre-Forward
395,Omar Al-Somah,omar-al-somah,220688,Centre-Forward
396,Alireza Jahanbakhsh,alireza-jahanbakhsh,213268,Right Winger
397,Baghdad Bounedjah,baghdad-bounedjah,209992,Centre-Forward
398,Vincent Janssen,vincent-janssen,207015,Centre-Forward
399,Robin Quaison,robin-quaison,206542,Second Striker
400,Flavien Tait,flavien-tait,202278,Left Winger
401,Marius Wolf,marius-wolf,193900,Right Winger
402,Stéphane Bahoken,stephane-bahoken,170953,Centre-Forward
403,Tom Ince,tom-ince,157368,Right Winger
404,Anthony Knockaert,anthony-knockaert,149237,Right Winger
405,José Izquierdo,jose-izquierdo,147094,Left Winger
406,Gianluca Caprari,gianluca-caprari,146752,Second Striker
407,Juanmi,juanmi,126737,Right Winger
408,Benik Afobe,benik-afobe,110858,Centre-Forward
409,Jordan Ayew,jordan-ayew,108354,Centre-Forward
410,Eduardo Salvio,eduardo-salvio,84535,Right Winger
411,Niclas Füllkrug,niclas-fullkrug,75489,Centre-Forward
412,Troy Deeney,troy-deeney,65477,Centre-Forward
413,Sofiane Feghouli,sofiane-feghouli,57162,Right Winger
414,Diego Perotti,diego-perotti,54984,Left Winger
415,Nils Petersen,nils-petersen,42936,Centre-Forward
416,Falcao,falcao,39152,Centre-Forward
417,Max Gradel,max-gradel,28140,Left Winger
418,Adam Hlozek,adam-hlozek,552057,Second Striker
419,Hassane Bandé,hassane-bande,504259,Left Winger
420,Karim Adeyemi,karim-adeyemi,496094,Centre-Forward
421,Nahuel Bustos,nahuel-bustos,439629,Right Winger
422,Andreas Skov Olsen,andreas-skov-olsen,432982,Right Winger
423,Myron Boadu,myron-boadu,412932,Centre-Forward
424,Alexis Claude-Maurice,alexis-claude-maurice,384593,Left Winger
425,Odsonne Edouard,odsonne-edouard,344152,Centre-Forward
426,Oliver Burke,oliver-burke,341317,Right Winger
427,Alfredo Morelos,alfredo-morelos,338962,Centre-Forward
428,Orbelín Pineda,orbelin-pineda,334042,Left Winger
429,Javi Ontiveros,javi-ontiveros,298983,Left Winger
430,Emiliano Rigoni,emiliano-rigoni,282544,Right Winger
431,Roger Assalé,roger-assale,263183,Centre-Forward
432,Jony,jony,228761,Left Winger
433,Marko Pjaca,marko-pjaca,205940,Left Winger
434,Guido Carrillo,guido-carrillo,184672,Centre-Forward
